"Type","Name","Address","State","Phone_number","Notes","FIPS","dist","longitude","latitude"
"FQHC","NEVADA HEALTH CTRS MAMMOVAN","1799 Mount Mariah Dr, Las Vegas, NV 89106-1501","NV","(877) 581-6266","All Other Clinic Types",NA,0,-115.1639547,36.19348073
"FQHC","One Health - Lewistown Annex","207 W Main St STE 5, Lewistown, MT 59457-2718","MT","(406) 350-4338","Unknown",NA,0,-109.42513214,47.06602222
"FQHC","Sierra Nevada Health Center & NVHC Administrative Offices","3325 Research Way, Carson City, NV 89706-7913","NV","(800) 787-2568","All Other Clinic Types",NA,0,-119.75022677,39.18875316
"FQHC","Henderson Family Health Center","98 E Lake Mead Pkwy, Henderson, NV 89015-5540","NV","(800) 787-2568","All Other Clinic Types",NA,0,-114.9831133,36.03892187
"FQHC","Grand Peaks Behavioral Health-Madison Middle School","575 W 7th S, Rexburg, ID 83440-9681","ID","(208) 359-3320","School",NA,0,-111.80107354,43.81162795
"FQHC","Community Health Center of Central Wyoming","5000 Blackmore Rd, Casper, WY 82609-3345","WY","(307) 233-6000","All Other Clinic Types",NA,0,-106.25787731,42.84134227
"FQHC","Valley Family Health Care - Administration Offices","1431 S Main St, Payette, ID 83661-5352","ID","(208) 642-7364","All Other Clinic Types",NA,0,-116.92576965,44.05841125
"FQHC","PHC - CS Porter School - Behavioral Health","2510 West Central Avenue, Missoula, MT 59804-6480","MT","(406) 210-0402","School",NA,0,-114.04116625,46.8505843
"FQHC","MobileVan3E350","2508 E Fox Farm Rd STE 1A, Cheyenne, WY 82007-2559","WY","(307) 635-3618","School",NA,0,-104.76920102,41.11663234
"FQHC","FAMILY HEALTH SERVICES - BUHL MEDICAL AND DENTAL CLINIC","725 Fair St, Buhl, ID 83316-6442","ID","(208) 543-8271","All Other Clinic Types",NA,0,-114.7508438,42.59281449
"FQHC","Community Health Care Center - Pharmacy","105 6th Street North, Great Falls, MT 59401-2531","MT","(406) 454-6973","All Other Clinic Types",NA,0,-111.29730976,47.50661176
"FQHC","Family Healthcare Riverside Drive Clinic","2276 E Riverside Dr, St George, UT 84790-2636","UT","(435) 986-2565","All Other Clinic Types",NA,0,-113.53315075,37.10255328
"FQHC","Greater Valley Health Center - Glacier High School","375 Wolfpack Way RM C101, Kalispell, MT 59901-1207","MT","(406) 607-4900","School",NA,0,-114.34482869,48.23846255
"FQHC","Heritage Health Kroc Rx","1765 W Golf Course Rd, Coeur D Alene, ID 83815-9033","ID","(208) 292-0292","All Other Clinic Types",NA,0,-116.80977333,47.70452874
"FQHC","FAMILY HEALTH SERVICES - CANYON RIDGE HIGH SCHOOL","300 N College Rd W, Twin Falls, ID 83301-3180","ID","(208) 734-1281","School",NA,0,-114.48474,42.58507145
"FQHC","Full Circle Health - Meridian","2275 S Eagle Rd STE 120, Meridian, ID 83642-2620","ID","(208) 514-2520","All Other Clinic Types",NA,0,-116.35517318,43.58429883
"FQHC","Community Health Care Center SBHC Charles M. Russell High School","228 17th Avenue Northwest, Great Falls, MT 59404-1899","MT","(406) 454-6973","School",NA,0,-111.31934805,47.52039597
